oad_Type,Road_Condition,Weather_Condition,Vehicle_Speed,Speed_Limit,Vehicle_Type,Temperature,Humidity,Visibility,T_Junction,Crossing,Stop_Signal,Railway_Crossing,Speed_Breaker,Severity_Level
Highway,Damaged,Sunny,66,80,Car,29,39,83,1,1,1,0,0,Medium
Rural,Damaged,Fog,68,40,Bike,22,95,19,1,0,0,0,0,High
Urban,Dry,Fog,33,50,Car,24,91,43,1,0,0,0,0,Low
Urban,Damaged,Cloudy,43,50,Bike,26,55,82,0,0,0,0,0,Low
Highway,Dry,Rainy,112,80,Truck,25,81,51,1,0,1,1,0,Medium
Rural,Wet,Rainy,35,40,Truck,28,89,64,1,0,0,1,0,Medium
Highway,Wet,Cloudy,61,80,Bike,26,61,90,1,1,0,0,0,Low
Urban,Damaged,Fog,35,50,Truck,21,85,16,1,0,1,1,0,High
Highway,Dry,Sunny,79,80,Bike,30,50,77,0,0,0,0,0,Low
Highway,Dry,Rainy,100,80,Bike,24,88,56,1,0,0,1,0,Medium
Highway,Dry,Sunny,119,80,Truck,36,38,87,1,0,1,1,0,Medium
Urban,Wet,Cloudy,30,50,Car,24,42,98,0,0,0,0,0,Low
Urban,Damaged,Storm,79,50,Bike,21,86,29,1,1,1,0,1,High
Rural,Dry,Rainy,21,40,Bike,22,88,46,0,1,1,1,0,Medium
Highway,Dry,Rainy,66,80,Car,27,84,46,1,1,1,1,0,Medium
Rural,Damaged,Sunny,20,40,Car,35,52,63,0,1,0,0,1,Low
Urban,Wet,Storm,36,50,Truck,21,82,27,1,1,1,1,0,High
Highway,Dry,Rainy,85,80,Car,27,75,42,0,1,1,0,1,Medium
Rural,Wet,Sunny,38,40,Bike,30,41,63,1,0,0,0,0,Low
Urban,Dry,Fog,49,50,Bike,20,94,33,1,0,1,1,1,Medium
Rural,Dry,Storm,30,40,Truck,27,91,11,0,0,1,1,0,Medium
Rural,Damaged,Cloudy,25,40,Bus,26,52,74,0,1,1,1,0,Medium
Rural,Dry,Sunny,35,40,Car,35,40,87,1,1,0,1,0,Low
Rural,Dry,Sunny,32,40,Car,34,42,91,1,1,0,1,0,Low
Highway,Dry,Rainy,79,80,Car,24,72,35,0,0,1,1,1,Medium
Rural,Damaged,Storm,60,40,Car,27,95,30,0,1,0,0,1,High
Urban,Dry,Rainy,33,50,Truck,22,75,34,1,0,0,0,1,Medium
Urban,Wet,Sunny,68,50,Car,31,49,80,0,0,1,1,1,Medium
Highway,Dry,Rainy,64,80,Car,23,73,68,0,1,1,0,0,Low
Urban,Dry,Sunny,70,50,Bus,34,58,66,0,0,0,1,1,Low
Rural,Wet,Cloudy,41,40,Car,29,44,62,0,0,0,0,0,Medium
Highway,Damaged,Cloudy,74,80,Bus,26,42,80,1,1,0,1,1,Medium
Highway,Damaged,Rainy,76,80,Bus,24,74,61,1,1,1,1,0,Medium
Highway,Dry,Cloudy,100,80,Bike,29,67,96,0,0,0,1,0,Low
Rural,Dry,Fog,42,40,Bike,24,92,20,1,1,1,0,0,High
Urban,Damaged,Storm,37,50,Bus,23,81,20,1,1,1,0,1,High
Rural,Dry,Cloudy,64,40,Car,30,60,92,1,0,1,0,1,Low
Urban,Dry,Sunny,70,50,Bus,29,33,93,0,1,0,0,0,Low
Urban,Dry,Sunny,53,50,Truck,38,43,82,0,0,1,0,1,Low
Rural,Dry,Fog,41,40,Car,18,90,48,0,0,0,1,1,Medium
Rural,Damaged,Rainy,69,40,Bike,28,75,53,0,0,1,1,1,Medium
Highway,Dry,Rainy,60,80,Bus,22,70,56,1,0,1,1,1,Medium
Urban,Wet,Fog,63,50,Bus,18,96,27,0,0,1,1,1,High
Urban,Dry,Cloudy,60,50,Car,24,43,95,1,1,0,1,1,Medium
Rural,Dry,Storm,20,40,Truck,20,90,38,1,0,0,1,0,Medium
Highway,Wet,Cloudy,71,80,Car,24,47,77,1,1,0,1,0,Medium
Highway,Damaged,Cloudy,93,80,Truck,31,50,74,0,1,0,1,0,Medium
Highway,Dry,Cloudy,89,80,Bus,31,43,85,1,1,0,0,1,Low
Highway,Dry,Fog,63,80,Bike,18,91,34,0,0,1,1,1,Medium
Urban,Wet,Cloudy,53,50,Truck,26,40,67,0,1,1,1,1,Medium
Urban,Wet,Cloudy,48,50,Bus,26,47,84,1,1,1,1,0,Medium
Highway,Wet,Cloudy,109,80,Bus,24,61,97,1,0,1,1,1,Medium
Urban,Dry,Rainy,45,50,Car,23,87,39,0,1,1,0,0,Medium
Rural,Dry,Cloudy,42,40,Truck,26,66,72,0,1,0,1,1,Low
Rural,Dry,Cloudy,49,40,Bus,28,51,88,1,0,0,1,1,Low
Rural,Wet,Sunny,43,40,Car,37,56,73,0,1,0,1,1,Medium
Urban,Damaged,Storm,46,50,Bus,21,88,13,1,1,1,1,0,High
Highway,Dry,Storm,84,80,Truck,23,84,13,1,1,0,1,0,High
Highway,Wet,Rainy,84,80,Truck,28,80,63,0,1,1,1,0,High
Rural,Dry,Cloudy,28,40,Truck,24,65,85,0,1,1,0,1,Low
Rural,Dry,Storm,31,40,Car,26,86,14,0,0,1,1,1,Medium
Highway,Dry,Rainy,73,80,Truck,27,79,59,1,1,1,1,1,Medium
Urban,Damaged,Fog,60,50,Truck,23,93,17,0,0,0,0,0,High
Highway,Dry,Storm,62,80,Bike,26,84,17,0,1,1,0,0,Medium
Highway,Wet,Sunny,111,80,Bus,36,30,64,0,0,1,0,0,Medium
Highway,Dry,Fog,64,80,Bike,23,87,15,1,0,1,0,0,Medium
Highway,Dry,Sunny,112,80,Car,34,59,83,1,0,1,1,0,Medium
Rural,Damaged,Sunny,56,40,Bike,37,45,73,1,1,1,1,0,Medium
Highway,Damaged,Fog,116,80,Bus,19,91,15,0,0,0,1,1,High
Urban,Dry,Fog,61,50,Bike,24,92,24,1,1,0,1,0,High
Highway,Dry,Storm,63,80,Truck,25,82,29,1,0,0,0,0,Medium
Highway,Dry,Cloudy,115,80,Bike,29,43,64,1,0,0,0,1,Low
Highway,Dry,Fog,119,80,Bus,19,92,27,0,0,1,0,1,Medium
Urban,Dry,Cloudy,47,50,Car,31,45,86,0,1,1,0,0,Low
Rural,Dry,Storm,26,40,Car,20,85,49,0,1,0,0,1,Low
Urban,Dry,Storm,79,50,Car,26,85,15,0,1,1,1,0,High
Highway,Wet,Cloudy,94,80,Car,28,44,62,1,0,1,0,0,Medium
Urban,Dry,Cloudy,79,50,Car,30,60,77,1,0,0,1,0,Low
Rural,Dry,Rainy,64,40,Truck,24,75,62,0,0,0,1,1,Medium
Highway,Dry,Cloudy,116,80,Bus,26,47,74,0,0,0,1,0,Low
Highway,Dry,Storm,78,80,Truck,27,83,44,1,0,1,0,1,Low
Rural,Dry,Cloudy,50,40,Bike,26,49,89,1,0,0,1,1,Low
Highway,Wet,Sunny,93,80,Bike,35,46,74,0,1,1,0,0,Medium
Highway,Wet,Sunny,95,80,Bus,39,33,97,0,0,0,1,0,Medium
Rural,Wet,Sunny,44,40,Car,34,45,86,0,0,0,0,0,Medium
Highway,Dry,Sunny,110,80,Car,29,33,79,1,1,0,0,1,Low
Urban,Dry,Storm,65,50,Car,23,80,48,1,1,1,0,0,Medium
Highway,Dry,Fog,83,80,Bike,24,97,17,0,0,1,0,0,Medium
Urban,Wet,Fog,34,50,Truck,20,89,13,1,1,1,1,1,High
Urban,Wet,Cloudy,72,50,Bus,26,56,69,0,0,0,0,1,Medium
Rural,Wet,Sunny,48,40,Truck,33,36,65,1,0,0,0,1,Medium
Rural,Wet,Fog,36,40,Car,24,90,31,0,1,0,1,1,Medium
Rural,Damaged,Fog,57,40,Bike,22,94,37,0,0,1,0,1,High
Highway,Dry,Fog,71,80,Bike,24,87,23,1,1,0,1,0,Medium
Highway,Dry,Rainy,108,80,Bus,29,86,36,1,0,1,0,0,Medium
Highway,Dry,Rainy,80,80,Bike,25,90,53,0,0,0,0,0,Low
Urban,Dry,Rainy,49,50,Truck,27,71,40,0,0,1,0,0,Low
Urban,Dry,Fog,49,50,Car,20,86,34,1,0,1,0,1,Medium
Highway,Dry,Rainy,69,80,Truck,25,81,33,1,1,1,0,1,Medium
Rural,Dry,Storm,39,40,Bus,23,98,42,1,1,1,1,1,Medium
Rural,Dry,Sunny,22,40,Bus,39,49,86,1,1,0,0,0,Low
Urban,Wet,Storm,45,50,Car,23,99,27,0,0,1,1,0,Medium
Highway,Dry,Storm,109,80,Car,27,97,31,1,1,0,0,0,Medium
Urban,Dry,Fog,62,50,Truck,24,88,11,0,0,0,1,0,Medium
Highway,Dry,Storm,80,80,Truck,22,95,14,0,1,0,1,0,Medium
Highway,Dry,Storm,116,80,Truck,26,93,22,1,1,1,1,1,High
Highway,Dry,Rainy,77,80,Bike,25,75,55,0,1,0,0,1,Low
Rural,Dry,Rainy,30,40,Bus,22,81,43,0,1,1,0,1,Low
Highway,Damaged,Storm,60,80,Bike,26,85,31,0,1,1,1,0,High
Rural,Dry,Cloudy,41,40,Bus,29,58,75,1,1,1,0,0,Medium
Highway,Dry,Cloudy,98,80,Truck,27,58,75,0,1,0,0,1,Low
Rural,Damaged,Storm,64,40,Bike,25,92,39,0,0,0,0,0,High
Rural,Dry,Rainy,69,40,Car,25,90,50,1,1,1,1,0,Medium
Urban,Dry,Cloudy,42,50,Bike,29,66,99,1,0,0,0,1,Low
Highway,Damaged,Cloudy,96,80,Car,29,62,92,1,0,0,1,0,Medium
Highway,Dry,Fog,66,80,Bike,23,93,12,0,1,0,0,1,Medium
Rural,Dry,Fog,67,40,Bus,24,86,33,1,1,1,1,1,High
Highway,Dry,Sunny,91,80,Bus,35,57,95,1,0,0,0,0,Low
Rural,Dry,Sunny,66,40,Car,32,35,94,1,1,1,1,1,Medium
Rural,Damaged,Storm,64,40,Bike,20,98,10,0,0,1,0,0,High
Urban,Dry,Storm,47,50,Bus,21,97,17,0,0,0,1,0,Medium
Rural,Dry,Rainy,29,40,Bus,26,86,44,1,0,0,0,1,Low
Highway,Wet,Fog,79,80,Bus,20,97,17,1,1,0,0,1,Medium
Highway,Dry,Fog,110,80,Bus,22,86,13,0,0,0,1,0,Medium
Highway,Dry,Cloudy,117,80,Bike,27,62,95,1,0,1,1,1,Medium
Rural,Wet,Sunny,37,40,Bus,36,35,69,0,1,0,0,0,Low
Urban,Wet,Storm,39,50,Bus,27,94,10,0,0,1,0,0,Medium
Highway,Dry,Storm,108,80,Bus,26,88,28,1,1,1,1,1,High
Urban,Dry,Sunny,33,50,Truck,31,39,83,1,1,1,0,1,Low
Urban,Wet,Storm,63,50,Truck,21,96,12,1,1,1,1,0,High
Rural,Dry,Cloudy,26,40,Car,27,64,60,1,1,0,1,1,Low
Highway,Wet,Storm,67,80,Bike,24,80,30,1,0,1,1,1,High
Rural,Damaged,Sunny,24,40,Car,29,50,90,1,1,0,0,0,Low
Urban,Wet,Cloudy,71,50,Car,28,64,90,1,0,1,0,0,Medium
Urban,Wet,Fog,46,50,Car,23,87,36,0,0,1,1,0,Medium
Highway,Damaged,Storm,88,80,Car,21,93,17,0,0,0,1,1,High
Highway,Dry,Fog,110,80,Car,22,95,41,0,0,1,1,0,Medium
Urban,Dry,Fog,51,50,Bus,20,93,20,1,1,0,1,0,High
Rural,Dry,Cloudy,26,40,Truck,25,64,65,0,0,0,1,1,Low
Urban,Wet,Cloudy,66,50,Car,27,43,94,1,1,0,0,1,Medium
Highway,Wet,Fog,106,80,Bus,19,92,19,1,1,0,1,1,High
Highway,Damaged,Rainy,74,80,Bike,25,71,41,0,1,0,0,1,Medium
Rural,Dry,Sunny,58,40,Car,32,45,91,1,0,1,0,1,Low
Urban,Wet,Cloudy,49,50,Bus,26,44,84,1,1,0,0,0,Low
Highway,Damaged,Storm,93,80,Bike,26,95,17,0,1,1,1,0,High
Highway,Wet,Fog,101,80,Bike,20,98,33,0,1,1,1,1,High
Highway,Wet,Storm,99,80,Bus,22,81,13,0,1,0,0,1,High
Highway,Damaged,Sunny,63,80,Bus,33,48,74,0,0,1,1,1,Low
Highway,Dry,Cloudy,60,80,Bike,31,50,74,1,1,0,0,1,Low
Highway,Dry,Fog,102,80,Car,21,99,26,0,0,1,1,0,Medium
Rural,Dry,Sunny,52,40,Bike,33,48,79,0,0,1,0,0,Low
Rural,Dry,Sunny,67,40,Bus,31,42,81,0,0,0,1,0,Low
Highway,Dry,Fog,76,80,Truck,22,90,27,1,1,1,0,1,Medium
Rural,Dry,Fog,53,40,Car,19,94,46,0,1,1,1,1,Medium
Highway,Wet,Cloudy,113,80,Bus,26,49,70,1,1,1,1,0,Medium
Highway,Wet,Fog,60,80,Bus,19,86,33,0,0,0,1,0,Medium
Urban,Wet,Cloudy,38,50,Car,25,67,82,0,1,1,0,0,Low
Urban,Wet,Cloudy,64,50,Truck,29,55,70,0,0,1,1,1,Medium
Highway,Dry,Fog,92,80,Truck,18,88,27,0,0,0,1,0,Medium
Urban,Wet,Fog,39,50,Bike,21,92,47,1,1,1,0,1,Medium
Rural,Dry,Cloudy,22,40,Bus,31,57,74,1,1,0,0,1,Low
Urban,Dry,Fog,45,50,Bus,19,88,17,0,0,0,1,1,Medium
Rural,Wet,Storm,56,40,Truck,23,91,41,1,0,0,0,0,Medium
Highway,Dry,Storm,70,80,Bus,21,93,42,1,1,1,1,1,Medium
Rural,Dry,Cloudy,42,40,Bus,24,58,95,0,0,1,1,1,Low
Highway,Dry,Fog,100,80,Bike,24,96,27,1,1,1,0,1,High
Highway,Damaged,Cloudy,76,80,Bike,31,43,81,0,1,0,0,0,Low
Highway,Wet,Storm,76,80,Truck,27,98,28,0,1,0,0,0,Medium
Rural,Dry,Cloudy,54,40,Bus,30,57,90,1,1,0,0,0,Low
Urban,Wet,Fog,45,50,Bike,22,93,15,1,1,0,0,1,Medium
Rural,Dry,Cloudy,56,40,Bike,30,47,61,0,1,0,1,1,Low
Highway,Dry,Fog,67,80,Truck,18,89,20,0,1,1,1,0,Medium
Highway,Dry,Sunny,94,80,Truck,39,58,85,0,0,0,0,1,Low
Urban,Damaged,Rainy,48,50,Truck,23,82,51,0,0,1,1,1,Medium
Highway,Dry,Storm,100,80,Bus,24,84,34,0,0,1,0,1,Medium
Highway,Dry,Sunny,117,80,Bus,28,57,71,0,1,0,1,1,Low
Rural,Damaged,Storm,35,40,Car,24,97,17,0,0,1,1,0,Medium
Highway,Dry,Storm,96,80,Bus,25,88,26,1,0,1,1,0,High
Urban,Dry,Rainy,50,50,Bike,26,82,46,0,0,0,1,1,Low
Urban,Wet,Storm,47,50,Truck,23,89,26,0,0,0,1,1,Medium
Rural,Dry,Storm,58,40,Car,22,95,25,0,0,1,0,0,Medium
Urban,Damaged,Sunny,69,50,Bus,35,43,64,0,0,1,0,0,Medium
Urban,Dry,Cloudy,68,50,Bus,24,47,98,1,0,1,0,1,Low
Highway,Dry,Fog,91,80,Car,24,89,32,1,0,1,0,0,Medium
Highway,Wet,Cloudy,94,80,Bus,28,48,98,0,1,1,0,1,Medium
Urban,Dry,Sunny,43,50,Car,31,58,75,1,1,1,1,0,Low
Urban,Wet,Sunny,35,50,Car,37,31,87,0,1,1,1,1,Medium
Urban,Wet,Cloudy,48,50,Truck,28,57,94,1,1,1,0,0,Medium
Urban,Dry,Rainy,47,50,Bike,27,82,65,1,1,0,1,1,Medium
Rural,Dry,Storm,30,40,Bike,23,99,28,0,1,1,0,1,Medium
Rural,Dry,Storm,58,40,Truck,24,84,21,0,0,1,1,0,Medium
Rural,Wet,Storm,51,40,Bike,25,94,44,0,1,0,1,0,Medium
Urban,Wet,Storm,37,50,Truck,25,91,23,1,0,1,1,0,High
Rural,Dry,Sunny,55,40,Bike,36,47,78,1,1,1,1,0,Medium
Rural,Wet,Fog,60,40,Truck,22,96,43,1,1,0,0,0,Medium
Highway,Dry,Fog,111,80,Bus,23,92,20,1,1,0,1,1,High
Urban,Dry,Rainy,41,50,Bike,28,77,30,1,0,0,1,1,Medium
Highway,Wet,Fog,108,80,Truck,24,85,47,1,0,1,1,0,High
Urban,Dry,Cloudy,52,50,Bike,27,58,69,0,0,0,0,0,Low
Rural,Dry,Cloudy,43,40,Bike,31,47,85,1,0,1,1,0,Medium
Urban,Damaged,Storm,60,50,Bus,21,85,12,0,0,0,1,0,High
Rural,Dry,Cloudy,37,40,Bus,27,66,80,0,1,0,0,1,Low
Urban,Wet,Rainy,52,50,Car,29,79,66,1,0,1,1,0,High
Highway,Wet,Fog,109,80,Bike,18,95,46,1,1,1,0,1,High
Highway,Dry,Rainy,94,80,Truck,22,80,53,0,0,0,0,1,Medium
Highway,Damaged,Rainy,101,80,Car,25,91,42,1,1,0,0,1,Medium
Highway,Dry,Storm,101,80,Bus,22,82,43,1,0,1,1,1,Medium
Rural,Dry,Storm,35,40,Bike,26,89,34,0,0,1,0,1,Medium
Urban,Wet,Cloudy,58,50,Bus,26,53,73,1,0,1,1,1,Medium
Highway,Wet,Rainy,82,80,Bus,23,75,53,1,1,0,0,0,Medium
Urban,Damaged,Fog,66,50,Car,23,91,48,0,0,1,1,0,Medium
Urban,Dry,Fog,60,50,Car,21,92,15,1,1,1,1,1,High
Highway,Dry,Cloudy,64,80,Bus,31,66,69,0,0,1,1,1,Low
Rural,Dry,Rainy,25,40,Bus,25,93,42,1,0,0,0,0,Low
Highway,Dry,Fog,116,80,Bike,20,89,31,1,0,0,0,0,Medium
Urban,Dry,Rainy,78,50,Car,25,71,59,1,1,0,1,1,Medium
Urban,Dry,Storm,45,50,Truck,27,87,48,0,1,0,1,1,Low
Rural,Dry,Cloudy,55,40,Truck,25,60,97,0,1,0,1,1,Low
Rural,Dry,Rainy,59,40,Bike,29,70,51,1,1,0,0,1,Medium
Rural,Dry,Sunny,25,40,Truck,34,50,73,1,1,0,1,1,Low
Highway,Dry,Fog,113,80,Truck,20,99,16,1,1,1,1,0,High
Rural,Dry,Sunny,62,40,Truck,32,42,68,1,0,0,1,1,Low
Urban,Dry,Sunny,42,50,Car,35,34,89,0,1,1,0,0,Low
Urban,Dry,Cloudy,50,50,Truck,26,61,68,0,1,0,1,1,Low
Highway,Dry,Rainy,97,80,Truck,27,92,68,1,0,0,0,1,Medium
Highway,Wet,Rainy,115,80,Car,25,77,68,1,0,1,1,0,High
Highway,Dry,Rainy,90,80,Bus,24,89,57,1,0,1,1,0,Medium
Rural,Wet,Rainy,51,40,Truck,22,89,63,1,0,0,1,0,Medium
Highway,Dry,Storm,106,80,Truck,26,97,41,1,0,1,0,0,Medium
Urban,Wet,Sunny,39,50,Bus,28,59,71,1,1,0,1,1,Medium
Highway,Wet,Sunny,118,80,Bus,35,49,86,0,1,0,0,1,Medium
Urban,Wet,Rainy,78,50,Bike,23,70,48,0,1,0,0,1,Medium
Highway,Wet,Storm,109,80,Truck,26,88,42,0,0,1,1,1,Medium
Urban,Wet,Sunny,68,50,Car,31,35,90,0,0,0,1,0,Medium
Urban,Dry,Storm,67,50,Bike,24,91,41,1,0,0,0,0,Medium
Urban,Dry,Cloudy,59,50,Bike,25,67,61,1,0,0,1,0,Low
Rural,Dry,Sunny,56,40,Car,37,46,60,1,0,1,0,0,Low
Highway,Damaged,Storm,80,80,Bus,27,87,49,1,1,1,1,1,Medium
Urban,Dry,Rainy,30,50,Bike,27,87,48,1,1,1,1,1,Medium
Rural,Dry,Rainy,27,40,Bus,28,90,62,0,0,0,0,1,Low
Highway,Dry,Rainy,109,80,Bus,24,88,46,0,0,1,0,0,Medium
Highway,Dry,Sunny,115,80,Truck,33,44,75,0,1,1,0,0,Low
Rural,Damaged,Storm,36,40,Car,20,99,16,1,0,1,1,0,High
Rural,Dry,Storm,47,40,Truck,23,99,26,0,0,0,0,1,Medium
Urban,Dry,Cloudy,59,50,Truck,30,49,66,1,1,1,0,0,Medium
Rural,Dry,Sunny,60,40,Bus,37,59,76,0,1,0,0,0,Low
Rural,Dry,Rainy,51,40,Bus,24,86,36,0,0,1,0,0,Medium
Urban,Wet,Cloudy,72,50,Bus,25,63,86,0,0,0,0,1,Medium
Highway,Wet,Sunny,103,80,Bike,34,45,72,1,0,0,1,0,Medium
Highway,Dry,Storm,90,80,Car,26,97,15,1,1,0,0,1,Medium
Urban,Dry,Cloudy,53,50,Truck,29,45,68,0,0,0,1,1,Low
Highway,Dry,Storm,100,80,Bus,27,92,13,1,0,0,0,0,Medium
Urban,Dry,Cloudy,60,50,Bus,28,46,98,1,1,1,0,1,Medium
Rural,Dry,Storm,57,40,Car,22,97,17,0,1,1,1,0,High
Urban,Wet,Storm,42,50,Bike,25,88,12,0,0,1,0,1,Medium
Rural,Dry,Sunny,29,40,Truck,28,51,97,0,1,0,0,1,Low
Urban,Dry,Sunny,65,50,Truck,32,30,67,0,0,0,1,0,Low
Urban,Wet,Sunny,55,50,Truck,31,39,60,1,1,1,1,0,Medium
Rural,Dry,Cloudy,21,40,Truck,28,59,62,0,0,1,0,1,Low
Urban,Dry,Cloudy,31,50,Bike,27,68,73,1,0,1,1,1,Low
Urban,Wet,Storm,38,50,Truck,27,85,27,0,0,0,1,0,Medium
Urban,Dry,Fog,37,50,Bike,23,94,35,1,1,0,1,1,Medium
Rural,Wet,Cloudy,44,40,Bus,24,45,61,1,0,1,1,1,Medium
Rural,Dry,Storm,21,40,Bus,20,86,21,0,0,0,1,0,Medium
Urban,Wet,Rainy,78,50,Truck,26,86,30,0,0,0,1,0,High
Highway,Dry,Storm,82,80,Bus,27,98,49,0,1,0,1,1,Medium
Highway,Wet,Sunny,73,80,Bus,39,37,87,1,0,0,1,0,Low
Rural,Dry,Storm,64,40,Truck,22,98,15,0,1,1,0,0,Medium
Highway,Dry,Storm,119,80,Car,24,80,23,0,1,0,1,1,Medium
Urban,Dry,Sunny,60,50,Bus,35,37,96,0,0,0,1,1,Low
Highway,Wet,Rainy,86,80,Bike,23,94,56,1,0,1,0,1,Medium
Urban,Wet,Cloudy,72,50,Car,30,69,81,0,1,1,0,1,Medium
Highway,Dry,Fog,115,80,Car,21,88,21,0,1,0,0,0,Medium
Rural,Damaged,Sunny,51,40,Bus,32,42,77,0,1,1,1,1,Medium
Urban,Dry,Fog,60,50,Car,23,99,39,1,0,1,1,0,High
Rural,Damaged,Fog,58,40,Truck,20,90,13,1,1,1,0,0,High
Highway,Dry,Rainy,70,80,Car,27,87,59,1,1,1,1,0,Medium
Urban,Dry,Storm,75,50,Truck,25,92,34,1,1,0,1,0,High
Urban,Dry,Fog,56,50,Car,21,89,34,0,1,1,0,1,Medium
Highway,Dry,Storm,85,80,Bus,24,96,46,0,0,1,0,0,Medium
Rural,Dry,Sunny,56,40,Car,37,49,94,0,0,0,1,0,Low
Highway,Dry,Sunny,93,80,Bike,31,51,83,0,0,1,0,1,Low
Urban,Dry,Fog,48,50,Bus,18,96,26,0,1,0,1,0,Medium
Urban,Wet,Rainy,39,50,Bus,22,74,48,1,0,1,0,0,Medium
Highway,Wet,Cloudy,100,80,Bike,26,68,77,0,0,1,1,1,Medium
Rural,Dry,Cloudy,64,40,Car,31,43,87,1,1,1,0,0,Medium
Urban,Damaged,Storm,59,50,Bike,26,88,11,1,1,1,1,0,High
Highway,Dry,Sunny,116,80,Car,30,37,90,1,1,1,0,0,Medium
Highway,Wet,Rainy,96,80,Truck,26,76,51,1,1,0,1,0,High
Highway,Dry,Rainy,67,80,Bike,28,81,37,0,0,0,0,1,Medium
Highway,Dry,Storm,81,80,Car,24,85,41,0,1,1,0,0,Medium
Urban,Dry,Fog,71,50,Bus,18,89,45,0,1,0,0,0,Medium
Rural,Dry,Cloudy,62,40,Bus,31,55,80,0,0,1,1,0,Low
Rural,Dry,Rainy,53,40,Bike,29,74,51,0,0,0,1,1,Medium
Highway,Dry,Cloudy,78,80,Bus,28,56,80,0,1,1,0,0,Low
Urban,Dry,Cloudy,62,50,Car,27,50,73,0,0,1,1,1,Low
Rural,Wet,Cloudy,51,40,Bike,28,52,82,0,1,1,0,0,Medium
Rural,Wet,Sunny,48,40,Bike,38,40,85,1,1,0,1,1,Medium
Urban,Wet,Rainy,46,50,Car,27,86,32,1,0,0,0,1,Medium
Rural,Dry,Storm,66,40,Truck,20,91,38,1,0,1,0,1,Medium
Highway,Damaged,Cloudy,97,80,Bus,26,55,88,1,0,0,1,0,Medium
Highway,Dry,Storm,113,80,Bike,20,98,24,1,0,1,0,1,Medium
Urban,Damaged,Storm,30,50,Bus,20,81,23,0,1,1,0,1,Medium
Rural,Damaged,Cloudy,62,40,Car,25,47,84,0,0,1,1,0,Medium
Highway,Dry,Cloudy,116,80,Car,27,63,70,1,1,0,0,1,Low
Urban,Dry,Sunny,59,50,Truck,33,51,81,1,0,0,1,0,Low
Highway,Dry,Rainy,96,80,Bike,27,71,35,1,1,1,1,1,High
Highway,Dry,Storm,91,80,Truck,24,89,35,1,0,0,1,1,Medium
Urban,Dry,Sunny,35,50,Bus,30,30,87,1,1,1,1,1,Low
Urban,Wet,Cloudy,45,50,Bike,25,59,75,1,1,1,0,1,Medium
Urban,Dry,Fog,39,50,Bike,18,99,48,0,1,0,0,0,Low
Urban,Wet,Cloudy,30,50,Bike,26,65,65,0,1,0,0,0,Low
Urban,Dry,Storm,32,50,Car,25,85,31,1,1,1,1,1,Medium
Urban,Dry,Cloudy,36,50,Car,29,41,96,1,0,1,0,1,Low
Highway,Damaged,Storm,116,80,Truck,24,86,25,1,0,0,1,0,High
Highway,Damaged,Fog,64,80,Truck,18,93,27,0,1,0,0,1,Medium
Rural,Dry,Fog,32,40,Bus,19,90,34,0,0,1,0,0,Medium
Rural,Damaged,Cloudy,45,40,Bike,27,43,69,1,0,1,1,1,Medium
Urban,Wet,Storm,70,50,Truck,22,95,29,0,0,0,0,1,High
Rural,Dry,Storm,69,40,Bike,20,97,47,0,0,0,1,1,Medium
Urban,Wet,Fog,65,50,Truck,24,87,30,0,0,1,1,1,High
Urban,Wet,Fog,34,50,Car,24,92,15,1,1,1,0,0,High
Rural,Damaged,Sunny,54,40,Bike,39,58,75,1,1,0,0,0,Medium
Rural,Wet,Cloudy,41,40,Bike,24,67,81,1,0,0,0,1,Medium
Rural,Wet,Sunny,62,40,Bike,37,53,67,1,1,0,0,0,Medium
Urban,Wet,Fog,31,50,Truck,18,90,27,1,0,1,1,0,High
Highway,Dry,Cloudy,74,80,Car,30,46,77,1,1,1,1,0,Low
Urban,Damaged,Cloudy,39,50,Car,29,48,72,1,1,0,0,0,Low
Rural,Wet,Cloudy,49,40,Truck,25,59,62,0,0,1,0,1,Medium
Urban,Dry,Cloudy,44,50,Bus,25,64,88,1,0,0,0,1,Low
Urban,Dry,Cloudy,43,50,Truck,24,61,80,1,0,1,1,1,Low
Highway,Damaged,Sunny,65,80,Bus,34,39,67,0,1,0,1,1,Low
Rural,Dry,Rainy,39,40,Truck,28,72,45,1,1,1,1,0,Medium
Highway,Dry,Sunny,60,80,Bike,36,58,86,0,0,1,0,0,Low
Rural,Wet,Fog,54,40,Truck,19,89,34,0,0,0,0,0,High
Rural,Dry,Storm,22,40,Car,21,90,20,0,1,1,1,0,Medium
Highway,Dry,Rainy,83,80,Car,29,72,68,1,0,1,0,0,Medium
Highway,Damaged,Sunny,74,80,Bus,28,43,86,0,0,1,1,0,Low
Urban,Damaged,Rainy,67,50,Car,22,83,61,1,0,1,1,0,High
Urban,Dry,Cloudy,53,50,Bus,31,51,83,1,1,0,0,1,Low
Urban,Dry,Cloudy,70,50,Bus,31,61,85,1,0,1,0,0,Low
Urban,Damaged,Cloudy,76,50,Truck,24,63,89,1,0,1,1,1,Medium
Urban,Damaged,Cloudy,58,50,Bus,25,65,62,1,0,1,1,0,Medium
Urban,Damaged,Fog,50,50,Truck,19,96,20,1,0,0,1,0,Medium
Rural,Dry,Rainy,59,40,Car,29,77,42,0,0,1,0,0,Medium
Rural,Wet,Rainy,58,40,Truck,28,89,37,0,1,0,0,1,High
